ID;Gemeente_Code;Gemeente;Perioden;TotaleBevolking
8315;GM0117;Havelte;2021;
8342;GM0245;Hedel;2021;
8369;GM1937;Heel;2021;
8396;GM0396;Heemskerk;2021;39191
8423;GM0397;Heemstede;2021;27545
8450;GM0246;Heerde;2021;18776
8477;GM0074;Heerenveen;2021;50650
8504;GM0247;Heerewaarden;2021;
8531;GM0398;Heerhugowaard;2021;58387
8558;GM0526;Heerjansdam;2021;
8585;GM0917;Heerlen;2021;86936
8612;GM0791;Heesch;2021;
8639;GM0793;Heeze;2021;
8666;GM1658;Heeze-Leende;2021;16243
8693;GM0399;Heiloo;2021;24144
8720;GM0162;Heino;2021;
8747;GM0918;Helden;2021;
8774;GM0400;Den Helder;2021;56582
8801;GM0163;Hellendoorn;2021;35932
8828;GM0530;Hellevoetsluis;2021;40312
8855;GM0794;Helmond;2021;92627
8882;GM0795;Helvoirt;2021;
8909;GM0531;Hendrik-Ido-Ambacht;2021;31258
8936;GM0248;Hengelo (Gld.);2021;
8963;GM0164;Hengelo (O.);2021;81049
8990;GM0796;'s-Hertogenbosch;2021;155490
9017;GM0251;Heteren;2021;
9044;GM0252;Heumen;2021;16569
9071;GM0797;Heusden;2021;45005
9098;GM0920;Heythuysen;2021;
9125;GM0534;Hillegom;2021;22197
9152;GM0798;Hilvarenbeek;2021;15698
9179;GM0402;Hilversum;2021;91235
9206;GM1963;Hoeksche Waard;2021;88047
9233;GM0253;Hoevelaken;2021;
9260;GM0799;Hoeven;2021;
9287;GM1735;Hof van Twente;2021;35040
9314;GM1966;Het Hogeland;2021;47834
9341;GM1911;Hollands Kroon;2021;48583
9368;GM0165;Holten;2021;
9395;GM0675;Hontenisse;2021;
9422;GM0801;Hooge en Lage Mierde;2021;
9449;GM0802;Hooge en Lage Zwaluwe;2021;
9476;GM0800;Hoogeloon, Hapert en Casteren;2021;
9503;GM0118;Hoogeveen;2021;55603
9530;GM0018;Hoogezand-Sappemeer;2021;
9557;GM0405;Hoorn;2021;73619
9584;GM0923;Horst;2021;
9611;GM1507;Horst aan de Maas;2021;42487
9638;GM0321;Houten;2021;50223
9665;GM0803;Huijbergen;2021;
9692;GM0255;Huissen;2021;
9719;GM0406;Huizen;2021;41090
9746;GM0677;Hulst;2021;27575
9773;GM0256;Hummelo en Keppel;2021;
9800;GM0925;Hunsel;2021;
9827;GM0195;IJsselham;2021;
9854;GM0191;IJsselmuiden;2021;
9881;GM0353;IJsselstein;2021;33819
9908;GM0645;Jacobswoude;2021;
9935;GM1884;Kaag en Braassem;2021;27541
9962;GM0166;Kampen;2021;54474
9989;GM0678;Kapelle;2021;12882
10016;GM0537;Katwijk;2021;65995
10043;GM0928;Kerkrade;2021;45442
10070;GM0257;Kerkwijk;2021;
10097;GM0929;Kessel;2021;
10124;GM0258;Kesteren;2021;
10151;GM0804;Klundert;2021;
10178;GM1598;Koggenland;2021;22940
10205;GM0079;Kollumerland en Nieuwkruisland;2021;
10232;GM0588;Korendijk;2021;
10259;GM0542;Krimpen aan den IJssel;2021;29410
10286;GM1931;Krimpenerwaard;2021;56622
10313;GM1659;Laarbeek;2021;22805
10340;GM1685;Landerd;2021;15817
10367;GM0882;Landgraaf;2021;37262
10394;GM0415;Landsmeer;2021;11565
10421;GM0325;Langbroek;2021;
10448;GM0416;Langedijk;2021;28335
10475;GM1621;Lansingerland;2021;63363
10502;GM0417;Laren (NH.);2021;11398
10529;GM0022;Leek;2021;
10556;GM0805;Leende;2021;
10583;GM0545;Leerdam;2021;
10610;GM0326;Leersum;2021;
10637;GM0080;Leeuwarden;2021;124481
10664;GM0081;Leeuwarderadeel;2021;
10691;GM0546;Leiden;2021;124093
10718;GM0547;Leiderdorp;2021;27377
10745;GM0548;Leidschendam;2021;
10772;GM1916;Leidschendam-Voorburg;2021;76433
10799;GM0995;Lelystad;2021;79811
10826;GM0082;Lemsterland;2021;
10853;GM1640;Leudal;2021;36045
10880;GM0327;Leusden;2021;30544
10907;GM0260;Lichtenvoorde;2021;
10934;GM1673;Liemeer;2021;
10961;GM0806;Liempde;2021;
10988;GM0261;Lienden;2021;
11015;GM0552;De Lier;2021;
11042;GM0807;Lieshout;2021;
11069;GM0694;Liesveld;2021;
11096;GM0418;Limmen;2021;
11123;GM0733;Lingewaal;2021;
11150;GM1705;Lingewaard;2021;46822
11177;GM0553;Lisse;2021;22982
11204;GM0808;Lith;2021;
11231;GM0140;Littenseradiel;2021;
11258;GM0262;Lochem;2021;33948
11285;GM0329;Loenen;2021;
11312;GM0809;Loon op Zand;2021;23504
11339;GM0330;Loosdrecht;2021;
11366;GM0331;Lopik;2021;14456
11393;GM0024;Loppersum;2021;
11420;GM0168;Losser;2021;22888
11447;GM0810;Luyksgestel;2021;
11474;GM0811;Maarheeze;2021;
11501;GM0332;Maarn;2021;
11528;GM0333;Maarssen;2021;
11555;GM0334;Maartensdijk;2021;
11582;GM0933;Maasbracht;2021;
11609;GM0934;Maasbree;2021;
11636;GM1671;Maasdonk;2021;
11663;GM0263;Maasdriel;2021;25452
11690;GM1641;Maasgouw;2021;23947
11717;GM0555;Maasland;2021;
11744;GM0556;Maassluis;2021;33567
11771;GM0935;Maastricht;2021;120227
11798;GM1665;Made;2021;
11825;GM0812;Made en Drimmelen;2021;
11852;GM0936;Margraten;2021;
11879;GM0686;Mariekerke;2021;
11906;GM0169;Markelo;2021;
11933;GM1663;De Marne;2021;
11960;GM0025;Marum;2021;
11987;GM0264;Maurik;2021;
12014;GM0420;Medemblik;2021;45165
12041;GM0993;Meerlo-Wanssum;2021;
12068;GM0938;Meerssen;2021;18661
12095;GM1948;Meierijstad;2021;81647
12122;GM0941;Meijel;2021;
12149;GM0083;Menaldumadeel;2021;
12176;GM1908;Menameradiel;2021;
12203;GM1987;Menterwolde;2021;
12230;GM0119;Meppel;2021;34386
12257;GM0687;Middelburg (Z.);2021;48964
12284;GM0559;Middelharnis;2021;
12311;GM1842;Midden-Delfland;2021;19414
12338;GM1731;Midden-Drenthe;2021;33381
12365;GM1952;Midden-Groningen;2021;60726
12392;GM0688;Middenschouwen;2021;
12419;GM1697;Middenveld;2021;
12446;GM0814;Mierlo;2021;
12473;GM0815;Mill en Sint Hubert;2021;11004
12500;GM0265;Millingen aan de Rijn;2021;
12527;GM1709;Moerdijk;2021;37185
12554;GM0816;Moergestel;2021;
12581;GM1978;Molenlanden;2021;44130
12608;GM1927;Molenwaard;2021;
12635;GM0562;Monster;2021;
12662;GM1955;Montferland;2021;36031
12689;GM0335;Montfoort;2021;13896
12716;GM0944;Mook en Middelaar;2021;7909
12743;GM0563;Moordrecht;2021;
12770;GM0424;Muiden;2021;
12797;GM0565;Naaldwijk;2021;
12824;GM0425;Naarden;2021;
12851;GM1740;Neder-Betuwe;2021;24648
